Date,Adj Close
2026-01-01,64.50
2025-12-01,57.47
2025-11-01,58.78
2025-10-01,62.17
2025-09-01,63.26
2025-08-01,64.46
2025-07-01,70.79
2025-06-01,65.33
2025-05-01,61.51
2025-04-01,59.16
2025-03-01,70.55
2025-02-01,71.49
2025-01-01,74.26
2024-12-01,73.91
2024-11-01,70.10
2024-10-01,72.77
2024-09-01,70.32
2024-08-01,75.99
2024-07-01,77.83
2024-06-01,84.41
2024-05-01,80.75
2024-04-01,86.61
2024-03-01,87.43
2024-02-01,83.03
2024-01-01,80.44
2023-12-01,76.23
2023-11-01,80.14
2023-10-01,86.31
2023-09-01,95.92
2023-08-01,88.51
2023-07-01,87.03
2023-06-01,75.32
2023-05-01,72.84
2023-04-01,82.32
2023-03-01,81.55
2023-02-01,83.12
2023-01-01,85.83
2022-12-01,87.85
2022-11-01,87.93
2022-10-01,94.45
2022-09-01,87.57
2022-08-01,98.94
2022-07-01,111.22
2022-06-01,118.29
2022-05-01,127.28
2022-04-01,117.67
2022-03-01,113.73
2022-02-01,110.20
2022-01-01,103.15
2021-12-01,87.88
2021-11-01,77.40
2021-10-01,98.19
2021-09-01,89.19
2021-08-01,81.36
2021-07-01,88.08
2021-06-01,88.01
2021-05-01,80.12
2021-04-01,77.34
2021-03-01,72.68
2021-02-01,76.11
2021-01-01,64.86
2020-12-01,60.37
2020-11-01,56.49
2020-10-01,44.52
2020-09-01,50.05
2020-08-01,53.32
2020-07-01,50.34
2020-06-01,49.55
2020-05-01,45.12
2020-04-01,24.39
2020-03-01,25.84
2020-02-01,56.37
2020-01-01,65.03
2019-12-01,77.38
2019-11-01,73.50
2019-10-01,68.27
2019-09-01,68.52
2019-08-01,69.82
2019-07-01,74.20
2019-06-01,73.90
2019-05-01,67.94
2019-04-01,81.24
2019-03-01,77.01
2019-02-01,73.61
2019-01-01,69.57
2018-12-01,58.45
2018-11-01,65.53
2018-10-01,84.00
2018-09-01,94.26
2018-08-01,90.09
2018-07-01,90.19
2018-06-01,95.68
2018-05-01,86.59
2018-04-01,89.00
2018-03-01,84.55
2018-02-01,80.24
2018-01-01,85.06
2017-12-01,79.77
2017-11-01,75.69
2017-10-01,71.68
2017-09-01,68.09
2017-08-01,62.61
2017-07-01,66.72
2017-06-01,61.11
2017-05-01,64.18
2017-04-01,65.59
2017-03-01,67.42
2017-02-01,72.10
2017-01-01,70.65
2016-12-01,72.41
2016-11-01,66.59
2016-10-01,63.01
2016-09-01,64.29
2016-08-01,60.34
2016-07-01,56.15
2016-06-01,65.14
2016-05-01,66.48
2016-04-01,62.51
2016-03-01,50.45
2016-02-01,44.91
2016-01-01,46.21
2015-12-01,51.06
2015-11-01,55.41
2015-10-01,63.73
2015-09-01,61.59
2015-08-01,67.15
2015-07-01,64.20
2015-06-01,81.07
2015-05-01,82.41
2015-04-01,81.96
2015-03-01,65.73
2015-02-01,69.06
2015-01-01,66.51
2014-12-01,74.04
2014-11-01,90.82
2014-10-01,110.32
2014-09-01,124.58
2014-08-01,133.82
2014-07-01,134.10
2014-06-01,144.75
2014-05-01,141.37
2014-04-01,137.29
2014-03-01,139.81
2014-02-01,142.52
2014-01-01,135.64
2013-12-01,137.01
2013-11-01,129.16
2013-10-01,134.10
2013-09-01,142.19
2013-08-01,150.17
2013-07-01,146.34
2013-06-01,134.22
2013-05-01,128.36
2013-04-01,130.39
2013-03-01,135.87
2013-02-01,128.93
2013-01-01,137.92
2012-12-01,130.09
2012-11-01,125.09
2012-10-01,121.25
2012-09-01,129.56
2012-08-01,136.20
2012-07-01,125.04
2012-06-01,120.53
2012-05-01,122.45
2012-04-01,148.27
