Date,Adj Close
2026-01-01,4865
2025-12-01,4338
2025-11-01,4232
2025-10-01,4030
2025-09-01,3842
2025-08-01,3429
2025-07-01,3308
2025-06-01,3294
2025-05-01,3328
2025-04-01,3319
2025-03-01,3139
2025-02-01,2932
2025-01-01,2865
2024-12-01,2705
2024-11-01,2733
2024-10-01,2830
2024-09-01,2749
2024-08-01,2587
2024-07-01,2492
2024-06-01,2409
2024-05-01,2410
2024-04-01,2371
2024-03-01,2324
2024-02-01,2143
2024-01-01,2150
2023-12-01,2187
2023-11-01,2166
2023-10-01,2097
2023-09-01,1953
2023-08-01,2055
2023-07-01,2090
2023-06-01,2046
2023-05-01,2102
2023-04-01,2134
2023-03-01,2122
2023-02-01,1975
2023-01-01,2096
2022-12-01,1999
2022-11-01,1932
2022-10-01,1782
2022-09-01,1820
2022-08-01,1876
2022-07-01,1939
2022-06-01,1995
2022-05-01,2056
2022-04-01,2151
2022-03-01,2209
2022-02-01,2179
2022-01-01,2078
2021-12-01,2133
2021-11-01,2078
2021-10-01,2098
2021-09-01,2083
2021-08-01,2159
2021-07-01,2161
2021-06-01,2121
2021-05-01,2301
2021-04-01,2153
2021-03-01,2106
2021-02-01,2138
2021-01-01,2300
2020-12-01,2366
2020-11-01,2225
2020-10-01,2348
2020-09-01,2367
2020-08-01,2466
2020-07-01,2475
2020-06-01,2234
2020-05-01,2189
2020-04-01,2178
2020-03-01,2022
2020-02-01,2045
2020-01-01,1993
2019-12-01,1928
2019-11-01,1842
2019-10-01,1904
2019-09-01,1884
2019-08-01,1935
2019-07-01,1813
2019-06-01,1794
2019-05-01,1646
2019-04-01,1636
2019-03-01,1652
2019-02-01,1705
2019-01-01,1709
2018-12-01,1659
2018-11-01,1575
2018-10-01,1566
2018-09-01,1525
2018-08-01,1557
2018-07-01,1574
2018-06-01,1614
2018-05-01,1685
2018-04-01,1709
2018-03-01,1725
2018-02-01,1725
2018-01-01,1763
2017-12-01,1711
2017-11-01,1691
2017-10-01,1675
2017-09-01,1693
2017-08-01,1752
2017-07-01,1692
2017-06-01,1650
2017-05-01,1695
2017-04-01,1687
2017-03-01,1669
2017-02-01,1674
2017-01-01,1623
2016-12-01,1552
2016-11-01,1582
2016-10-01,1713
2016-09-01,1774
2016-08-01,1771
2016-07-01,1835
2016-06-01,1782
2016-05-01,1648
2016-04-01,1754
2016-03-01,1688
2016-02-01,1693
2016-01-01,1533
2015-12-01,1458
2015-11-01,1460
2015-10-01,1561
2015-09-01,1524
2015-08-01,1546
2015-07-01,1492
2015-06-01,1597
2015-05-01,1627
2015-04-01,1656
2015-03-01,1624
2015-02-01,1670
2015-01-01,1758
2014-12-01,1661
2014-11-01,1631
2014-10-01,1607
2014-09-01,1653
2014-08-01,1758
2014-07-01,1768
2014-06-01,1792
2014-05-01,1714
2014-04-01,1773
2014-03-01,1781
2014-02-01,1839
2014-01-01,1733
2013-12-01,1677
2013-11-01,1738
2013-10-01,1857
2013-09-01,1855
2013-08-01,1937
2013-07-01,1854
2013-06-01,1676
2013-05-01,1969
2013-04-01,2060
2013-03-01,2239
2013-02-01,2229
2013-01-01,2365
2012-12-01,2357
2012-11-01,2442
2012-10-01,2416
2012-09-01,2503
2012-08-01,2340
2012-07-01,2304
2012-06-01,2225
2012-05-01,2218
2012-04-01,2350
2012-03-01,2355
2012-02-01,2554
2012-01-01,2494
2011-12-01,2269
2011-11-01,2450
2011-10-01,2468
2011-09-01,2335
2011-08-01,2622
2011-07-01,2323
2011-06-01,2173
2011-05-01,2212
2011-04-01,2214
2011-03-01,2083
2011-02-01,2072
2011-01-01,1969
2010-12-01,2093
2010-11-01,2044
2010-10-01,1988
2010-09-01,1952
2010-08-01,1838
2010-07-01,1743
2010-06-01,1851
2010-05-01,1810
2010-04-01,1753
2010-03-01,1658
2010-02-01,1669
2010-01-01,1625
