Date,Adj Close
2026-02-19,11.42
2026-02-18,11.33
2026-02-17,11.35
2026-02-16,11.34
2026-02-13,11.35
2026-02-12,11.37
2026-02-11,11.24
2026-02-10,11.23
2026-02-09,11.10
2026-02-06,11.15
2026-02-05,11.11
2026-02-04,10.92
2026-02-03,10.67
2026-02-02,10.60
2026-01-30,10.64
2026-01-29,10.72
2026-01-28,10.75
2026-01-27,10.68
2026-01-26,10.60
2026-01-23,10.68
2026-01-22,10.64
2026-01-21,10.65
2026-01-20,10.53
2026-01-19,10.56
2026-01-16,10.56
2026-01-15,10.53
2026-01-14,10.31
2026-01-13,10.23
2026-01-12,10.33
2026-01-09,10.49
2026-01-08,10.47
2026-01-07,10.53
2026-01-06,10.42
2026-01-05,10.47
2026-01-02,10.30
2026-01-01,10.31
2025-12-31,10.31
2025-12-30,10.44
2025-12-29,10.50
2025-12-26,10.58
2025-12-25,10.63
2025-12-24,10.63
2025-12-23,10.51
2025-12-22,10.53
2025-12-19,10.49
2025-12-18,10.52
2025-12-17,10.59
2025-12-16,10.63
2025-12-15,10.73
2025-12-12,10.76
2025-12-11,10.94
2025-12-10,10.92
2025-12-09,10.88
2025-12-08,10.94
2025-12-05,11.05
2025-12-04,11.20
2025-12-03,11.16
2025-12-02,11.24
2025-12-01,11.27
2025-11-28,11.37
2025-11-27,11.32
2025-11-26,11.32
2025-11-25,11.24
2025-11-24,11.21
2025-11-21,11.27
2025-11-20,11.23
2025-11-19,11.35
2025-11-18,11.51
2025-11-17,11.58
2025-11-14,11.13
2025-11-13,11.33
2025-11-12,11.21
2025-11-11,11.13
2025-11-10,11.16
2025-11-07,11.02
2025-11-06,10.92
2025-11-05,11.19
2025-11-04,11.08
2025-11-03,11.20
2025-10-31,11.00
2025-10-30,10.85
2025-10-29,10.67
2025-10-28,10.65
2025-10-27,10.42
2025-10-24,10.44
2025-10-23,10.35
2025-10-22,10.31
2025-10-21,10.33
2025-10-20,10.21
2025-10-17,10.12
2025-10-16,10.07
2025-10-15,10.06
2025-10-14,10.06
2025-10-13,10.07
2025-10-10,10.22
2025-10-09,10.30
2025-10-08,10.21
2025-10-07,10.18
2025-10-06,10.17
2025-10-03,10.22
2025-10-02,10.15
2025-10-01,10.01
2025-09-30,10.09
2025-09-29,10.14
2025-09-26,10.12
2025-09-25,10.09
2025-09-24,10.13
2025-09-23,10.11
2025-09-22,10.26
2025-09-19,10.39
2025-09-18,10.44
2025-09-17,10.49
2025-09-16,10.43
2025-09-15,10.43
2025-09-12,10.10
2025-09-11,10.10
2025-09-10,10.10
2025-09-09,10.10
2025-09-08,10.08
2025-09-05,10.10
2025-09-04,10.16
2025-09-03,10.16
2025-09-02,10.37
2025-09-01,10.37
2025-08-29,10.30
2025-08-28,10.28
2025-08-27,10.29
2025-08-26,10.26
2025-08-25,10.36
2025-08-22,10.33
2025-08-21,10.33
2025-08-20,10.13
2025-08-19,10.20
2025-08-18,10.23
2025-08-15,10.18
2025-08-14,10.18
2025-08-13,10.05
2025-08-12,9.91
2025-08-11,9.91
2025-08-08,9.70
2025-08-07,9.62
2025-08-06,9.70
2025-08-05,9.69
2025-08-04,9.69
2025-08-01,9.63
2025-07-31,9.68
2025-07-30,9.81
2025-07-29,9.88
2025-07-28,9.99
2025-07-25,10.05
2025-07-24,10.06
2025-07-23,10.12
2025-07-22,10.15
2025-07-21,10.27
2025-07-18,10.22
2025-07-17,10.13
2025-07-16,9.95
2025-07-15,9.97
2025-07-14,10.16
2025-07-11,10.13
2025-07-10,10.19
2025-07-09,10.25
2025-07-08,10.37
2025-07-07,10.55
2025-07-04,10.55
2025-07-03,10.50
2025-07-02,10.24
2025-07-01,10.25
2025-06-30,10.28
2025-06-27,10.28
2025-06-26,10.26
2025-06-25,10.47
2025-06-24,10.58
2025-06-23,10.58
2025-06-20,10.67
2025-06-19,10.73
2025-06-18,10.73
2025-06-17,10.74
2025-06-16,10.70
2025-06-13,10.43
2025-06-12,10.43
2025-06-11,10.50
2025-06-10,10.58
2025-06-09,10.58
2025-06-06,10.58
2025-06-05,10.51
2025-06-04,10.45
2025-06-03,10.41
2025-06-02,10.35
2025-05-30,10.42
2025-05-29,10.51
2025-05-28,10.49
2025-05-27,10.62
2025-05-26,10.61
2025-05-23,10.68
2025-05-22,10.68
2025-05-21,10.62
2025-05-20,10.54
2025-05-19,10.51
2025-05-16,10.51
2025-05-15,10.53
2025-05-14,10.58
2025-05-13,10.65
2025-05-12,10.65
2025-05-09,10.36
2025-05-08,10.36
2025-05-07,10.30
2025-05-06,10.34
2025-05-05,10.37
2025-05-02,10.49
2025-05-01,10.34
2025-04-30,10.34
2025-04-29,10.50
2025-04-28,10.50
2025-04-25,10.50
2025-04-24,10.42
2025-04-23,10.42
2025-04-22,10.36
2025-04-21,10.30
2025-04-18,10.36
2025-04-17,10.36
2025-04-16,10.38
2025-04-15,10.35
2025-04-14,10.41
2025-04-11,10.44
2025-04-10,10.28
2025-04-09,10.13
2025-04-08,9.85
2025-04-07,9.85
2025-04-04,9.77
2025-04-03,10.12
2025-04-02,10.33
2025-04-01,10.33
2025-03-31,10.22
2025-03-28,10.22
2025-03-27,10.16
2025-03-26,10.02
2025-03-25,10.02
2025-03-24,10.07
2025-03-21,10.10
2025-03-20,10.09
2025-03-19,10.09
2025-03-18,10.13
2025-03-17,9.99
2025-03-14,9.99
2025-03-13,9.99
2025-03-12,9.86
2025-03-11,10.02
2025-03-10,10.01
2025-03-07,10.10
2025-03-06,9.99
2025-03-05,9.99
2025-03-04,9.86
2025-03-03,9.97
2025-02-28,10.25
2025-02-27,10.25
2025-02-26,10.25
2025-02-25,10.31
2025-02-24,10.40
2025-02-21,10.40
2025-02-20,10.44
2025-02-19,10.33
2025-02-18,10.38
2025-02-17,10.37
2025-02-14,10.37
2025-02-13,10.30
2025-02-12,10.28
2025-02-11,10.49
2025-02-10,10.49
2025-02-07,10.49
2025-02-06,10.66
2025-02-05,10.59
2025-02-04,10.75
2025-02-03,10.57
2025-01-31,10.45
2025-01-30,10.60
2025-01-29,10.46
2025-01-28,10.46
2025-01-27,10.46
2025-01-24,10.55
2025-01-23,10.64
2025-01-22,10.57
2025-01-21,10.68
2025-01-20,10.36
2025-01-17,10.36
2025-01-16,10.43
2025-01-15,10.43
2025-01-14,10.44
2025-01-13,10.44
2025-01-10,10.15
2025-01-09,9.86
2025-01-08,9.93
2025-01-07,9.93
2025-01-06,9.90
2025-01-03,10.00
2025-01-02,9.98
2025-01-01,9.98
2024-12-31,9.98
2024-12-30,9.83
2024-12-27,9.81
2024-12-26,9.88
2024-12-25,9.74
2024-12-24,9.74
2024-12-23,9.69
2024-12-20,9.75
2024-12-19,9.52
2024-12-18,9.77
2024-12-17,9.77
2024-12-16,9.83
2024-12-13,9.95
2024-12-12,9.95
2024-12-11,9.96
2024-12-10,9.95
2024-12-09,9.90
2024-12-06,9.95
2024-12-05,9.94
2024-12-04,9.84
2024-12-03,9.92
2024-12-02,9.86
2024-11-29,9.91
2024-11-28,9.89
2024-11-27,9.89
2024-11-26,9.83
2024-11-25,9.85
2024-11-22,9.85
2024-11-21,9.81
2024-11-20,9.99
2024-11-19,10.10
2024-11-18,10.10
2024-11-15,9.98
2024-11-14,9.90
2024-11-13,10.03
2024-11-12,10.11
2024-11-11,10.11
2024-11-08,10.17
2024-11-07,10.16
2024-11-06,9.95
2024-11-05,9.95
2024-11-04,9.87
2024-11-01,9.84
2024-10-31,9.84
2024-10-30,9.79
2024-10-29,9.66
2024-10-28,9.75
2024-10-25,9.90
2024-10-24,9.96
2024-10-23,9.98
2024-10-22,9.80
2024-10-21,9.80
2024-10-18,9.90
2024-10-17,9.78
2024-10-16,9.93
2024-10-15,9.93
2024-10-14,9.96
2024-10-11,10.05
2024-10-10,10.22
2024-10-09,10.22
2024-10-08,10.35
2024-10-07,10.38
2024-10-04,10.38
2024-10-03,10.47
2024-10-02,10.55
2024-10-01,10.57
2024-09-30,10.66
2024-09-27,10.66
2024-09-26,10.53
2024-09-25,10.43
2024-09-24,10.39
2024-09-23,10.39
2024-09-20,10.14
2024-09-19,10.13
2024-09-18,10.15
2024-09-17,10.07
2024-09-16,10.05
2024-09-13,9.88
2024-09-12,9.88
2024-09-11,9.78
2024-09-10,9.82
2024-09-09,10.00
2024-09-06,10.02
2024-09-05,10.00
2024-09-04,10.02
2024-09-03,9.96
2024-09-02,9.82
2024-08-30,9.82
2024-08-29,9.73
2024-08-28,9.70
2024-08-27,9.70
